Tipo;Colonia;Habitaciones;Area;Valor
Departamento;Lomas de Chapultepec;2;80;12250.0
Departamento;Santa Fe;4;240;44450.0
Departamento;Santa Fe;3;104;9100.0
Departamento;San Ángel;2;70;9800.0
Departamento;Santa Fe;2;88;9450.0
Departamento;Centro Histórico;1;37;3850.0
Departamento;San Jerónimo;3;130;19250.0
Departamento;Santa Fe;3;85;8750.0
Departamento;Del Valle;2;54;8050.0
Cocineta;Centro Histórico;0;30;2800.0
Departamento;Coyoacán;3;120;24500.0
Tienda/Salón;Santa Fe;0;36;18550.0
Departamento;Santa Fe;2;78;9625.0
Conjunto Comercial/Sala;Centro Histórico;0;95;13300.0
Conjunto Comercial/Sala;Centro Histórico;0;310;59675.0
Departamento;San Pedro de los Pinos;2;86;14000.0
Departamento;Santa Fe;1;70;5950.0
Conjunto Comercial/Sala;Santa Fe;0;145;31500.0
Departamento;Ciudad de los Deportes;2;80;3500.0
Departamento;Narvarte;2;80;6300.0
Conjunto Comercial/Sala;Santa Fe;0;142;14000.0
Conjunto Comercial/Sala;Roma;0;241;77000.0
Casa de Vecindad;Villa Coapa;2;70;4550.0
Departamento;Narvarte;3;172;9450.0
Departamento;Coyoacán;3;145;28000.0
Cocineta;Condesa;1;29;4200.0
Departamento;Roma;2;83;9800.0
Departamento;Roma;2;80;15050.0
Departamento;Bosques de las Lomas;3;250;48650.0
Conjunto Comercial/Sala;Centro Histórico;0;40;5250.0
Conjunto Comercial/Sala;Centro Histórico;0;48;4900.0
Departamento;Lomas de Chapultepec;3;147;26250.0
Departamento;Condesa;2;67;12250.0
Departamento;Coyoacán;3;150;87500.0
Departamento;Santa Fe;4;220;26250.0
Departamento;Juárez;2;77;8400.0
Conjunto Comercial/Sala;Centro Histórico;0;55;3150.0
Departamento;Chapultepec;2;55;4725.0
Departamento;Lomas de Chapultepec;3;85;13650.0
Departamento;Juárez;2;75;11725.0
Casa;Lindavista;1;33;4200.0
Cocineta;La Condesa;1;16;4900.0
Conjunto Comercial/Sala;Centro Histórico;0;212;45500.0
Conjunto Comercial/Sala;Santa Fe;0;20;1557.5
Departamento;Ciudad de los Deportes;2;80;3150.0
Departamento;San Miguel Chapultepec;1;37;3500.0
Conjunto Comercial/Sala;Mixcoac;0;27;5250.0
Departamento;Condesa;3;150;19250.0
Departamento;Bosques de las Lomas;3;127;17500.0
Conjunto Comercial/Sala;Santa Fe;0;32;4550.0
Conjunto Comercial/Sala;Santa Fe;0;28;2800.0
Conjunto Comercial/Sala;Santa Fe;0;45;5600.0
Departamento;Santa Fe;3;128;10500.0
Terreno Estándar;Santa Fe;0;1110;490000.0
Departamento;San Ángel;3;160;28000.0
Conjunto Comercial/Sala;Centro Histórico;0;154;13650.0
Departamento;Condesa;3;200;21700.0
Departamento;Santa Fe;2;58;5250.0
Departamento;Roma;3;100;19250.0
Departamento;Santa Fe;4;320;19250.0
Departamento;El Rosedal;2;50;3850.0
Conjunto Comercial/Sala;Santa Fe;0;21;4200.0
Departamento;Coyoacán;2;52;35000.0
Tienda/Salón;Santa Fe;0;120;14000.0
Departamento;Lomas de Chapultepec;4;380;140000.0
Conjunto Comercial/Sala;Centro Histórico;0;35;3500.0
Conjunto Comercial/Sala;Narvarte;0;20;3500.0
Tienda/Salón;Santa Fe;0;50;15750.0
Conjunto Comercial/Sala;Centro Histórico;0;120;10500.0
Departamento;Santa Fe;2;72;9100.0
Departamento;Roma;4;190;19250.0
Cocineta;Juárez;0;20;2450.0
Departamento;Coyoacán;4;700;227500.0
Conjunto Comercial/Sala;Centro Histórico;0;270;24500.0
Departamento;Bosques de las Lomas;3;105;12600.0
Departamento;Condesa;3;500;52500.0
Departamento;Narvarte;3;87;5600.0
Departamento;Roma;1;35;5250.0
Conjunto Comercial/Sala;Santa Fe;0;24;2450.0
Conjunto Comercial/Sala;Narvarte;0;21;3500.0
Departamento;Santa Fe;1;65;8225.0
Departamento;Coyoacán;3;220;77000.0
Departamento;Condesa;3;100;11550.0
Departamento;Santa Fe;3;93;8750.0
Departamento;Nueva Santa María;2;78;2800.0
Departamento;Santa Fe;2;85;8750.0
Departamento;Lomas de Chapultepec;2;115;26250.0
Departamento;Roma;2;70;12950.0
Departamento;Santa Fe;4;392;105000.0
Casa Comercial;Roma;0;220;56000.0
Cochera/Estacionamiento;Narvarte;0;0;1330.0
Departamento;Arboledas;3;61;4900.0
Departamento;Condesa;3;250;24500.0
Departamento en Hotel;Condesa;1;63;12600.0
Departamento en Hotel;Lomas de Chapultepec;1;50;15750.0
Departamento;Coyoacán;3;200;52500.0
Departamento;Condesa;3;140;12950.0
Departamento;Condesa;2;50;8750.0
Casa;Chapultepec;3;135;10500.0
Departamento;Narvarte;3;78;8750.0
Conjunto Comercial/Sala;Condesa;0;210;88200.0
Cocineta;Centro Histórico;0;28;2450.0
Departamento;Bosques de las Lomas;3;75;14000.0
Conjunto Comercial/Sala;Narvarte;0;32;3150.0
Departamento;Narvarte;1;65;4200.0
Departamento;Santa Fe;2;60;5250.0
Departamento;Condesa;4;210;45500.0
Departamento;Santa Fe;2;83;7000.0
Departamento;Del Valle;5;400;31500.0
Departamento;Santa Fe;3;84;6650.0
Departamento;Narvarte;3;75;6300.0
Departamento;Coyoacán;3;126;19250.0
Departamento;Lomas de Chapultepec;4;250;61250.0
Conjunto Comercial/Sala;Roma;0;463;324100.0
Conjunto Comercial/Sala;Centro Histórico;0;190;15750.0
Conjunto Comercial/Sala;Centro Histórico;0;185;10500.0
Conjunto Comercial/Sala;Centro Histórico;0;230;24500.0
Conjunto Comercial/Sala;Centro Histórico;0;55;6160.0
Departamento;Condesa;4;436;59500.0
Departamento;Narvarte;2;71;5250.0
Departamento;Santa Fe;2;81;6650.0
Casa de Condominio;Santa Fe;4;595;105000.0
Departamento;Lomas de Chapultepec;3;87;13300.0
Tienda/Salón;Condesa;0;13;5250.0
Tienda/Salón;Santa Fe;0;95;52500.0
Conjunto Comercial/Sala;Centro Histórico;0;150;14000.0
Departamento;Del Valle;4;288;24500.0
Conjunto Comercial/Sala;Santa Fe;0;25;3500.0
Departamento;Lomas de Chapultepec;2;70;14700.0
Departamento;Villa de Cortés;1;46;3500.0
Departamento;Casa Blanca;3;65;4200.0
Tienda/Salón;Santa Fe;0;50;3850.0
Departamento;Santa Fe;3;169;22750.0
Cocineta;Condesa;1;23;3500.0
Departamento;Del Valle;3;90;8400.0
Departamento;Narvarte;2;50;6300.0
Departamento;Coyoacán;3;140;22750.0
Departamento;Coyoacán;4;170;42000.0
Casa;Narvarte;4;191;14000.0
Departamento;Centro Histórico;1;35;4725.0
Departamento;Narvarte;2;63;4900.0
Departamento;Condesa;3;112;13300.0
Tienda/Salón;Santa Fe;0;500;133000.0
Departamento;Lomas de Chapultepec;3;85;29750.0
Departamento;Narvarte;3;129;6300.0
Departamento;Santa Fe;4;160;30100.0
Conjunto Comercial/Sala;Centro Histórico;0;100;9800.0
Departamento;Santa Fe;1;60;7700.0
Conjunto Comercial/Sala;Villa de Cortés;0;2160;453600.0
Cocineta;Centro Histórico;1;33;3465.0
Departamento;Condesa;2;54;6300.0
Conjunto Comercial/Sala;Centro Histórico;0;1136;477295.0
Casa Comercial;La Condesa;0;139;58590.0
Departamento en Hotel;Bosques de Aragón;1;55;10500.0
Departamento;Juárez;2;70;11550.0
Departamento;Condesa;5;390;35000.0
Departamento;Roma;1;35;3500.0
Departamento;Narvarte;3;164;12250.0
Departamento;Roma;2;79;15102.5
Departamento;Narvarte;1;36;4550.0
Cocineta;Condesa;1;26;4900.0
Casa de Condominio;Santa Fe;4;1000;105000.0
Conjunto Comercial/Sala;Centro Histórico;0;120;10500.0
Departamento;San Pedro de los Pinos;1;57;13965.0
Departamento;Lomas de Chapultepec;4;200;38500.0
Departamento;Santa Fe;2;63;6650.0
Departamento;San Ángel;2;100;13650.0
Departamento;Coyoacán;3;165;26250.0
Conjunto Comercial/Sala;Centro Histórico;0;145;13300.0
Departamento;Coyoacán;3;160;21000.0
Departamento;Lomas de Chapultepec;2;87;16800.0
Departamento;Santa Fe;3;105;8750.0
Conjunto Comercial/Sala;Centro Histórico;0;87;10500.0
Cocineta;Condesa;1;30;4550.0
Conjunto Comercial/Sala;Santa Fe;0;190;35000.0
Conjunto Comercial/Sala;Lomas de Chapultepec;0;6;3150.0
Departamento;Santa Fe;3;80;12250.0
Conjunto Comercial/Sala;Centro Histórico;0;375;65625.0
Departamento;Roma;3;102;17850.0
Departamento;San Ángel;3;120;9450.0
Departamento;San Pedro de los Pinos;2;112;15750.0
Conjunto Comercial/Sala;Centro Histórico;0;34;3500.0
Conjunto Comercial/Sala;Centro Histórico;0;48;15750.0
Conjunto Comercial/Sala;Santa Fe;0;80;17500.0
Departamento;Bosques de las Lomas;1;75;9800.0
Departamento;Coyoacán;3;125;24500.0
Conjunto Comercial/Sala;Lomas de Chapultepec;0;120;70000.0
Departamento;Nueva Santa María;2;53;4900.0
Loft;Santa Fe;1;78;9450.0
Departamento;Santa Fe;2;86;12250.0
Departamento;Santa Fe;2;77;8750.0
Departamento;Nueva Santa María;1;63;2450.0
Conjunto Comercial/Sala;Centro Histórico;0;22;2800.0
Departamento;Santa Fe;4;149;15750.0
Conjunto Comercial/Sala;Roma;0;534;157500.0
Departamento;Coyoacán;4;250;42000.0
Departamento;San Ángel;2;68;9450.0
Departamento;Santa Fe;2;75;4900.0
Departamento;Coyoacán;2;97;24500.0
Conjunto Comercial/Sala;Santa Fe;0;72;7700.0
Cocineta;Lomas de Chapultepec;1;30;5950.0
Departamento;Condesa;4;279;11025.0
Casa;La Florida;2;59;4200.0
Cochera/Estacionamiento;Centro Histórico;0;0;875.0
Conjunto Comercial/Sala;Santa Fe;0;50;5600.0
Departamento;Del Valle;5;713;105000.0
Conjunto Comercial/Sala;Roma;0;1510;739900.0
Conjunto Comercial/Sala;Centro Histórico;0;254;35000.0
Conjunto Comercial/Sala;Centro Histórico;0;24;2100.0
Conjunto Comercial/Sala;Centro Histórico;0;250;28000.0
Conjunto Comercial/Sala;Santa Fe;0;22;2625.0
Departamento;Narvarte;2;70;5250.0
Casa de Condominio;Santa Fe;5;640;48300.0
Departamento;Álvaro Obregón;2;70;3500.0
Conjunto Comercial/Sala;Narvarte;0;150;25200.0
Conjunto Comercial/Sala;Centro Histórico;0;219;80500.0
Conjunto Comercial/Sala;Centro Histórico;0;322;29750.0
Departamento;Iztacalco;2;40;2100.0
Departamento;Condesa;2;81;10150.0
Conjunto Comercial/Sala;Santa Fe;0;350;57750.0
Casa de Condominio;Santa Fe;5;1000;70000.0
Departamento en Hotel;San Pedro de los Pinos;1;55;7000.0
Conjunto Comercial/Sala;Centro Histórico;0;360;31500.0
Departamento;Ciudad de los Deportes;3;90;3150.0
Departamento;San Miguel Chapultepec;3;124;5950.0
Tienda/Salón;Santa Fe;0;210;192500.0
Departamento;Coyoacán;2;75;18200.0
Departamento;Del Valle;2;70;8050.0
Departamento;Santa Fe;4;192;17500.0
Conjunto Comercial/Sala;Centro Histórico;0;1141;279492.5
Departamento;Condesa;1;43;5600.0
Departamento;Santa Fe;2;70;7700.0
Departamento;Mixcoac;3;73;4200.0
Departamento;Condesa;3;120;10500.0
Conjunto Comercial/Sala;Narvarte;0;29;2800.0
Conjunto Comercial/Sala;Roma;0;705;238000.0
Departamento;Peralvillo;2;64;2800.0
Departamento;Condesa;1;45;9800.0
Departamento;Del Valle;2;110;8750.0
Departamento;Coyoacán;4;433;129500.0
Departamento;Napoles;3;175;28000.0
Casa;Nueva Santa María;2;70;3850.0
Conjunto Comercial/Sala;Santa Fe;0;75;8750.0
Departamento;San Pedro de los Pinos;2;64;8750.0
Conjunto Comercial/Sala;Centro Histórico;0;90;9800.0
Departamento;Condesa;1;37;8750.0
Departamento;Condesa;4;240;35000.0
Casa de Condominio;Santa Fe;4;188;21000.0
Departamento;Santa Fe;3;137;43750.0
Departamento;Santa Fe;14;212;17500.0
Departamento;Nativitas;2;65;3850.0
Departamento;Santa Fe;2;105;10500.0
Conjunto Comercial/Sala;Centro Histórico;0;240;73500.0
Tienda/Salón;San Rafael;0;330;21000.0
Departamento;San Miguel Chapultepec;2;70;3850.0
Departamento;San Ángel;3;108;17500.0
Departamento;Juárez;1;45;5600.0
Conjunto Comercial/Sala;Santa Fe;0;32;2800.0
Cocineta;Condesa;1;15;3850.0
Conjunto Comercial/Sala;Centro Histórico;0;101;7000.0
Conjunto Comercial/Sala;Santa Fe;0;28;5600.0
Departamento;Santa Fe;3;160;24500.0
Conjunto Comercial/Sala;Centro Histórico;0;150;14000.0
Conjunto Comercial/Sala;Roma;0;457;175000.0
Departamento;Bosques de las Lomas;3;130;17500.0
Conjunto Comercial/Sala;Centro Histórico;0;240;24500.0
Departamento;Condesa;3;80;8750.0
Casa de Condominio;Santa Fe;3;367;21000.0
Casa;Polanco;2;107;33250.0
Conjunto Comercial/Sala;Roma;0;700;208250.0
Conjunto Comercial/Sala;Santa Fe;0;10;21745.5
Departamento;Santa Fe;5;171;31500.0
Departamento;Centro Histórico;1;42;7700.0
Cocineta;Lomas de Chapultepec;1;25;6825.0
Departamento;Lomas de Chapultepec;4;260;47250.0
Conjunto Comercial/Sala;Centro Histórico;0;594;31500.0
Tienda/Salón;Condesa;0;310;105000.0
Conjunto Comercial/Sala;Centro Histórico;0;373;105000.0
Conjunto Comercial/Sala;Coyoacán;0;200;88200.0
Departamento;Bosques de las Lomas;4;180;38500.0
Departamento;Condesa;1;43;6300.0
Departamento;Bosques de las Lomas;2;80;7700.0
Conjunto Comercial/Sala;Condesa;0;25;3500.0
Departamento;Polanco;3;170;21000.0
Casa Comercial;Roma;3;280;45500.0
Departamento;Lomas de Chapultepec;4;207;54250.0
Departamento;Santa Fe;4;518;133000.0
Galpón/Depósito/Almacén;Vallejo;0;850;29750.0
Departamento;Coyoacán;1;50;8400.0
Cocineta;Condesa;1;35;5950.0
Tienda/Salón;Juárez;0;300;61250.0
Tienda/Salón;Santa Fe;0;49;7000.0
Conjunto Comercial/Sala;Centro Histórico;0;151;38587.5
Departamento;Condesa;2;65;9450.0
Conjunto Comercial/Sala;Santa Fe;0;300;52500.0
Casa;Roma;12;500;63000.0
Conjunto Comercial/Sala;Coyoacán;0;45;17500.0
Departamento;Santa Fe;4;304;45500.0
Casa de Condominio;Santa Fe;4;280;29750.0
Edificio Completo;Santa Fe;0;5500;1680000.0
Departamento;Narvarte;3;88;8050.0
Departamento;Coyoacán;3;145;25200.0
Casa;Juárez;10;300;52500.0
Departamento;Tlalpan;1;53;9800.0
Departamento;Coyoacán;3;116;17500.0
Departamento;Narvarte;3;116;7000.0
Departamento;San Miguel Chapultepec;3;82;4200.0
Cocineta;La Condesa;1;26;2975.0
Departamento;Santa Fe;3;130;16800.0
Departamento;Condesa;1;60;9800.0
Tienda/Salón;Arboledas;0;56;7700.0
Departamento;Villa de Cortés;2;64;3325.0
Departamento;Polanco;3;130;22400.0
Tienda/Salón;Santa Fe;0;140;25200.0
Departamento;Lomas de Chapultepec;2;90;12250.0
Departamento;Lomas de Chapultepec;4;200;29750.0
Conjunto Comercial/Sala;Centro Histórico;0;208;17500.0
Departamento;Narvarte;1;84;7000.0
Galpón/Depósito/Almacén;Pueblo Culhuacán;0;2000;105000.0
Departamento;Condesa;1;150;10500.0
Departamento;Santa Fe;3;156;19250.0
Conjunto Comercial/Sala;Roma;0;90;20650.0
Tienda/Salón;Santa Fe;0;65;7700.0
Departamento;Roma;2;115;7700.0
Departamento;Narvarte;2;49;6300.0
Terreno Estándar;Villa de Cortés;0;721;14000.0
Departamento;Condesa;2;120;13300.0
Departamento;Santa Fe;2;70;6300.0
Tienda/Salón;San Antonio Tecomitl;0;42;3500.0
Departamento;Santa Fe;2;70;11340.0
Departamento;Coyoacán;2;99;11550.0
Conjunto Comercial/Sala;Centro Histórico;0;42;2450.0
Departamento;Condesa;3;80;10850.0
Departamento;Condesa;2;74;9100.0
Departamento;San Pedro de los Pinos;2;75;10150.0
Departamento;Santa Fe;4;250;33250.0
Tienda/Salón;Centro Histórico;0;530;42000.0
Departamento;Coyoacán;4;250;42000.0
Departamento;Santa Fe;4;260;26250.0
Departamento;Del Valle;2;85;7350.0
Departamento;Roma Norte;2;69;6650.0
Departamento;San Rafael;2;56;6650.0
Cochera/Estacionamiento;Centro Histórico;0;0;350.0
Departamento;Coyoacán;4;480;136500.0
Departamento;Santa Fe;4;180;24500.0
Departamento;Condesa;2;81;10500.0
Departamento;Santa Fe;2;88;8400.0
Conjunto Comercial/Sala;Santa Fe;0;125;24500.0
Casa de Condominio;La Florida;2;100;5250.0
Departamento;Coyoacán;3;169;31500.0
Tienda en Centro Comercial;Santa Fe;0;88;8750.0
Conjunto Comercial/Sala;Lomas de Chapultepec;0;120;70000.0
Conjunto Comercial/Sala;Santa Fe;0;45;3850.0
Tienda en Centro Comercial;Coyoacán;0;25;17500.0
Departamento;Lomas de Chapultepec;3;74;11550.0
Departamento;Condesa;2;110;9800.0
Departamento;Napoles;1;31;3990.0
Conjunto Comercial/Sala;Santa Fe;0;36;5600.0
Conjunto Comercial/Sala;Coyoacán;0;32;5950.0
Conjunto Comercial/Sala;Santa Fe;0;108;20650.0
Casa;Condesa;5;260;24500.0
Departamento;Santa Fe;2;70;8400.0
Departamento;Industrial Vallejo;3;60;2625.0
Departamento;La Condesa;1;48;4900.0
Departamento;Condesa;5;400;29750.0
Departamento;Coyoacán;2;45;10500.0
Departamento;Peralvillo;2;65;3325.0
Departamento;Lomas de Chapultepec;2;100;13300.0
Departamento;Iztapalapa;2;70;2975.0
Departamento;Ciudad de los Deportes;2;63;3850.0
Tienda en Centro Comercial;Santa Fe;0;81;8750.0
Departamento;Santa Fe;3;480;52500.0
Departamento;Del Valle;2;51;6650.0
Departamento;Roma;1;17;3850.0
Departamento;Roma;3;100;21175.0
Departamento;Bosques de las Lomas;2;90;9450.0
Departamento;Villa Coapa;2;83;3325.0
Departamento;Bosques de las Lomas;3;230;21000.0
Departamento;Peralvillo;2;62;5950.0
Departamento;Lomas de Chapultepec;2;113;12250.0
Conjunto Comercial/Sala;Santa Fe;0;54;8750.0
Departamento;San Miguel Chapultepec;2;63;4550.0
Galpón/Depósito/Almacén;Santa Marta Acatitla;0;3084;237492.5
Cocineta;Condesa;1;30;9100.0
Cocineta;Condesa;1;30;11200.0
Cocineta;Centro Histórico;1;15;2625.0
Departamento;Bosques de las Lomas;3;250;38500.0
Departamento;San Pedro de los Pinos;3;95;8050.0
Departamento;Villa de Guadalupe;1;45;2450.0
Departamento;Santa Fe;2;90;7000.0
Tienda/Salón;Condesa;0;26;2450.0
Departamento;Santa Fe;1;80;5950.0
Casa;Álvaro Obregón;1;35;1400.0
Departamento;Santa Fe;2;70;7700.0
Departamento;Santa Fe;4;190;19250.0
Tienda/Salón;Condesa;0;260;122500.0
Conjunto Comercial/Sala;Santa Fe;0;1100;231000.0
Tienda/Salón;Roma;0;525;226443.0
Departamento;Condesa;3;140;12250.0
Departamento;Narvarte;1;87;4900.0
Departamento;Santa Fe;4;210;18550.0
Casa de Condominio;Tláhuac;2;70;2800.0
Conjunto Comercial/Sala;Centro Histórico;100;1600;560000.0
Conjunto Comercial/Sala;Centro Histórico;0;570;68250.0
Departamento;Lomas de Chapultepec;4;300;105000.0
Departamento;Coyoacán;3;140;25200.0
Casa de Condominio;Polanco;4;380;42000.0
Departamento;Polanco;2;86;14350.0
Departamento;Lomas de Chapultepec;3;110;21700.0
Casa de Condominio;Santa Fe;4;280;38500.0
Departamento;Narvarte;2;60;6300.0
Departamento en Hotel;Roma;1;50;8750.0
Departamento;Santa Fe;2;140;15750.0
Departamento;San Rafael;1;30;3850.0
Departamento;Peralvillo;2;52;2450.0
Conjunto Comercial/Sala;Santa Fe;0;45;1750.0
Departamento;Bosques de las Lomas;2;77;9450.0
Departamento;Condesa;3;194;26250.0
Tienda en Centro Comercial;Santa Fe;0;34;9450.0
Departamento;Lomas de Chapultepec;3;208;28000.0
Cocineta;Condesa;1;25;4200.0
Conjunto Comercial/Sala;Centro Histórico;0;50;4200.0
Departamento;San Ángel;3;220;24500.0
Conjunto Comercial/Sala;Santa Fe;0;350;73500.0
Departamento;Santa Fe;3;204;16100.0
Departamento;Santa Fe;3;80;9800.0
Departamento;Lomas de Chapultepec;4;205;52500.0
Departamento;Santa Fe;3;165;22750.0
Conjunto Comercial/Sala;Centro Histórico;0;576;100957.5
Conjunto Comercial/Sala;Condesa;0;73;14000.0
Conjunto Comercial/Sala;Centro Histórico;0;34;3150.0
Conjunto Comercial/Sala;Santa Fe;0;49;4200.0
Departamento;Lomas de Chapultepec;3;140;15750.0
Departamento;Del Valle;3;150;11200.0
Departamento;Lomas de Padierna;1;47;4200.0
Departamento;Narvarte;2;70;6475.0
Departamento;Lomas de Chapultepec;2;82;20650.0
Departamento;Santa Fe;4;330;70000.0
Departamento;Santa Fe;3;140;17150.0
Conjunto Comercial/Sala;Centro Histórico;0;55;3150.0
Conjunto Comercial/Sala;Santa Fe;0;22;2100.0
Conjunto Comercial/Sala;Coyoacán;0;30;8050.0
Tienda/Salón;Centro Histórico;0;172;8750.0
Departamento;Narvarte;3;106;7175.0
Departamento;Napoles;1;55;7000.0
Departamento;Coyoacán;3;310;56000.0
Departamento;San Miguel Chapultepec;2;79;4550.0
Conjunto Comercial/Sala;Lomas de Chapultepec;0;408;316414.0
Departamento;El Contadero;2;92;5600.0
Departamento;Santa Fe;2;102;8750.0
Galpón/Depósito/Almacén;San Mateo;0;190;12600.0
Departamento;Condesa;3;160;14000.0
Casa Comercial;Condesa;12;360;59500.0
Cocineta;Condesa;1;38;6300.0
Departamento;Condesa;1;30;4200.0
Departamento;Coyoacán;3;80;14000.0
Departamento;Lomas de Chapultepec;4;300;98000.0
Departamento;Polanco;3;145;16380.0
Departamento;Santa Fe;1;68;9800.0
Departamento;Polanco;2;83;12250.0
Conjunto Comercial/Sala;Santa Fe;0;125;12250.0
Departamento;Lomas de Chapultepec;3;180;33250.0
Conjunto Comercial/Sala;Roma;0;80;15750.0
Departamento;Condesa;2;110;14000.0
Conjunto Comercial/Sala;Narvarte;0;50;4200.0
Departamento;Roma;3;123;11200.0
Conjunto Comercial/Sala;Centro Histórico;0;309;52500.0
Departamento;Santa Fe;3;120;9800.0
Departamento;Lomas de Chapultepec;2;168;31500.0
Conjunto Comercial/Sala;Centro Histórico;0;44;3150.0
Edificio Completo;Condesa;1;450;220500.0
Departamento;Ciudad de los Deportes;1;50;2100.0
Departamento;Santa Fe;1;71;7350.0
Departamento;Narvarte;2;81;8225.0
Departamento;Mixcoac;3;90;6650.0
Departamento;Bosques de las Lomas;2;56;12250.0
Departamento;Lomas de Chapultepec;4;200;40250.0
Casa;Santa Fe;6;540;87500.0
Departamento;Narvarte;3;98;5950.0
Departamento;San Rafael;2;66;2450.0
Departamento;Coyoacán;3;200;22050.0
Departamento;Peralvillo;2;60;3150.0
Conjunto Comercial/Sala;Centro Histórico;0;182;29750.0
Departamento;Condesa;2;65;4900.0
Departamento;Lomas de Chapultepec;4;230;62650.0
Departamento;San Ángel;3;138;27650.0
Departamento;Coyoacán;3;130;28000.0
Departamento;Roma;3;123;14000.0
Conjunto Comercial/Sala;Santa Fe;0;35;5250.0
Departamento;Roma;1;38;4550.0
Departamento en Hotel;Santa Fe;1;71;9450.0
Departamento;Narvarte;2;88;3850.0
Conjunto Comercial/Sala;Centro Histórico;0;30;1750.0
Departamento;Condesa;1;36;5950.0
Conjunto Comercial/Sala;Centro Histórico;0;106;12250.0
Cocineta;Condesa;1;30;4025.0
Departamento;Narvarte;2;80;4550.0
Conjunto Comercial/Sala;Santa Fe;0;20;3850.0
Departamento;Condesa;1;37;7700.0
Departamento;Coyoacán;3;126;21000.0
Departamento;San Ángel;2;63;11550.0
Departamento;Santa Fe;2;74;7350.0
Conjunto Comercial/Sala;Centro Histórico;0;31;2800.0
Departamento;Santa Fe;2;70;8050.0
Departamento;Santa Fe;4;292;56000.0
Departamento;Santa Fe;4;330;31500.0
Casa;Santa Fe;4;232;22750.0
Departamento;Roma;3;102;17850.0
Departamento;La Condesa;1;28;5250.0
Departamento;Santa Fe;2;65;5600.0
Departamento;Nueva Santa María;2;69;4375.0
Departamento;Las Águilas;2;48;3500.0
Departamento;Lomas de Chapultepec;4;240;62650.0
Departamento;Del Valle;4;350;35000.0
Departamento;Santa Fe;2;87;8050.0
Departamento;Santa Fe;3;75;6650.0
Departamento;Santa Fe;2;80;12250.0
Casa de Condominio;Santa Fe;5;1050;52500.0
Departamento;Condesa;3;130;14000.0
Conjunto Comercial/Sala;Centro Histórico;0;134;41440.0
Conjunto Comercial/Sala;Santa Fe;0;5124;2149000.0
Conjunto Comercial/Sala;Santa Fe;0;46;5075.0
Departamento;Culhuacán CTM;3;58;3465.0
Casa Comercial;Polanco;0;80;21000.0
Departamento;San Pedro de los Pinos;2;72;10150.0
Departamento;Peralvillo;2;61;3500.0
Departamento;Tlalpan;3;220;56000.0
Galpón/Depósito/Almacén;Santa María la Ribera;0;590;52500.0
Tienda/Salón;Villa de Guadalupe;0;55;6300.0
